;weiszfeld obj;weiszfeld n iter;weiszfeld time;weiszfeld iter time;n;m;bfgs obj;bfgs n iter;bfgs time;bfgs iter time;newton obj;newton n iter;newton time;newton iter time
0;7648629.0172272;35;0.0012156963348388672;2.390997750418527e-05;2;100;7648629.017227231;16;0.002277851104736328;0.0001342296600341797;7648629.017227202;5;0.0018758773803710938;0.0003509998321533203
1;79065739.27789748;32;0.04390287399291992;0.0002226606011390686;2;1000;79065739.27789748;13;0.03718709945678711;0.0004104284139779898;79065739.27789748;4;0.025879383087158203;0.0011160969734191895
2;38526834.85241115;35;0.008740901947021484;0.00013414791652134486;2;500;38526834.85241115;16;0.0065937042236328125;0.0003077685832977295;38526834.85241115;4;0.005640268325805664;0.0009235739707946777
3;14844553.27189761;33;0.0033521652221679688;8.372827009721236e-05;2;200;14844553.271897612;14;0.003873586654663086;0.0002497945513044085;14844553.271897612;5;0.002898693084716797;0.0004940509796142578
4;382833476.1630062;29;0.8016438484191895;0.000451745658085264;2;5000;382833476.1630062;13;1.0072190761566162;0.0005576793964092548;382833476.1630062;5;0.9715120792388916;0.0027742385864257812
5;151610195.07079408;30;0.36051201820373535;0.00016646385192871095;2;2000;151610195.0707941;13;0.30455803871154785;0.00031619805556077225;151610195.07079408;4;0.19993925094604492;0.0011298060417175293
6;18071628.933026228;15;0.0009515285491943359;4.550615946451823e-05;10;100;18071628.93302626;50;0.012699127197265625;0.00025044918060302735;18071628.933026228;5;0.003049612045288086;0.0005760669708251953
7;181061729.49776676;11;0.017957687377929688;0.0002573186700994318;10;1000;181061729.49776673;34;0.02788996696472168;0.000537718043607824;181061729.4977668;7;0.036122798919677734;0.0038797174181256977
8;89288104.69671096;13;0.0052013397216796875;0.00014719596275916466;10;500;89288104.69671097;33;0.014379739761352539;0.00036625428633256394;89288104.69671097;5;0.009922981262207031;0.0016385555267333985
9;36180289.922289334;12;0.001641988754272461;8.950630823771159e-05;10;200;36180289.92228935;46;0.014028072357177734;0.00029669118964153785;36180289.922289334;5;0.0038115978240966797;0.0006788253784179687
10;901134132.1468349;12;0.9159905910491943;0.0004592736562093099;10;5000;901134132.1468349;23;0.9691004753112793;0.0008816408074420432;901134132.1468349;5;1.0399177074432373;0.010755157470703125
11;363874422.66577554;12;0.18440890312194824;0.000209808349609375;10;2000;363874422.66577554;28;0.2610645294189453;0.00039310966219220845;363874422.66577554;5;0.28031229972839355;0.004280662536621094
12;12375448.54504023;17;0.0006594657897949219;2.6758979348575367e-05;5;100;12375448.545040272;48;0.009636163711547852;0.00019700328509012857;12375448.545040231;5;0.0014429092407226562;0.00026621818542480467
13;126217162.2430549;15;0.017334938049316406;0.00023469924926757812;5;1000;126217162.24305491;30;0.023573875427246094;0.0004627545674641927;126217162.24305491;4;0.015830278396606445;0.0018388628959655762
14;62675673.98611976;17;0.005040884017944336;0.00014239199021283318;5;500;62675673.98611978;32;0.012696266174316406;0.00033820420503616333;62675673.98611976;5;0.007441520690917969;0.001027822494506836
15;24864207.921259686;16;0.0018725395202636719;8.226931095123291e-05;5;200;24864207.921259698;35;0.009862184524536133;0.0002690792083740234;24864207.921259686;6;0.003663301467895508;0.0005450646082560221
16;628988360.3333368;15;0.8712115287780762;0.0005102316538492838;5;5000;628988360.3333367;23;1.7417984008789062;0.0010909308557925017;628988360.3333367;4;1.8324840068817139;0.014958202838897705
17;253498010.8202566;16;0.33518099784851074;0.000337749719619751;5;2000;253498010.8202566;28;0.41356754302978516;0.0005366972514561244;253498010.8202566;5;0.5666241645812988;0.006500244140625
